Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-Aminolevulinic acid,131.0582,4.18,0.86,C108,RP_pos_2020,86.19836128,134,C00430,HMDB0001149,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hydroxy-L-proline,131.0582,3.93,0.86,E30,RP_pos_2020,87.69301944,5605,C01157,HMDB0000725,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hydroxy-L-proline,131.0582,3.90,0.86,E30,RP_neg_2020,87.69301944,5605,C01157,HMDB0000725,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A017_RP,L-(+)-Isoleucine,131.0948,10.17,0.3,0.6,-0.3,-0.4,-1.3,-0.9,-0.8,-0.7,0.1,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,5.928441584892230000000000000000E-01,3.752997304330900000000000000000E-03,1.938564062026680000000000000000E-01,1.010717337614820000000000000000E-01,2.858632320338340000000000000000E-01,9.999999999925950000000000000000E-01,1.1E+08,1.7E+08,1.2E+08,1.5E+08,1.3E+08,1.3E+08,1.2E+08,1.5E+08,3.3E+08,4.0E+08,1.2E+08,1.9E+08,2.0E+08,2.7E+08,1.3E+08,2.3E+08,2.5E+08,2.1E+08,3.0E+08,1.9E+08,2.9E+08,2.6E+08,3.2E+08,2.7E+08,5.8E+05,4.0E+05,5.3E+05,4.4E+05,4.4E+05,5.7E+05,2.1E+05,16.1,9.5,32.6,51.2,11.4,7.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Leucine,131.0946,10.44,0.94,D8,RP_pos_2020,82.30254976,834,C00123,HMDB0000687,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Isoleucine,131.0946,10.19,0.94,D9,RP_pos_2020,80.99191599,6067,C00407,HMDB0000172,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Leucine,131.0946,10.53,0.94,D008,RP_neg_2020,82.30254976,834,C00123,HMDB0000687,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A018_RP,L-Leucine,131.0948,10.45,0.2,0.4,-0.3,-0.3,-1.0,-0.8,-0.5,-0.6,0.0,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,7.044746377979390000000000000000E-01,2.086518905648320000000000000000E-03,9.009254111384570000000000000000E-02,2.732850457721740000000000000000E-01,1.163792118648560000000000000000E-01,9.999999999925950000000000000000E-01,2.9E+08,4.2E+08,3.1E+08,3.4E+08,3.1E+08,3.4E+08,3.1E+08,3.5E+08,5.7E+08,6.7E+08,3.2E+08,4.0E+08,4.0E+08,5.2E+08,3.3E+08,4.8E+08,5.0E+08,4.6E+08,5.8E+08,4.4E+08,6.7E+08,5.7E+08,6.6E+08,7.2E+08,5.9E+05,5.7E+05,5.2E+05,6.1E+05,4.9E+05,4.1E+05,4.6E+05,23.7,13.5,21.4,28.4,10.9,2.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-norleucine,131.0946,10.74,0.95,A094,RP_pos_2020,83.86051354,19964,C01933,HMDB0001645,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Leucine,131.0946,10.44,0.95,D8,RP_pos_2020,85.40972023,834,C00123,HMDB0000687,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Isoleucine,131.0946,10.19,0.95,D9,RP_pos_2020,83.69950511,6067,C00407,HMDB0000172,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Norleucine,131.0946,10.61,0.95,A094,RP_neg_2020,83.86051354,19964,C01933,HMDB0001645,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Leucine,131.0946,10.53,0.95,D008,RP_neg_2020,85.40972023,834,C00123,HMDB0000687,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A019_RP,L-(-)-Asparagine,132.0536,3.75,0.3,0.8,0.4,-0.2,-1.1,-1.0,-0.7,-1.2,-0.5,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,3.231483602229810000000000000000E-03,2.728089806084570000000000000000E-02,6.902461640257540000000000000000E-02,1.555295741331930000000000000000E-03,6.341673818358390000000000000000E-01,7.4E+07,9.9E+07,7.7E+07,8.2E+07,6.7E+07,9.7E+07,7.6E+07,8.4E+07,9.8E+07,1.9E+08,8.4E+07,1.4E+08,8.2E+07,1.5E+08,8.4E+07,1.4E+08,1.0E+08,1.4E+08,1.6E+08,1.8E+08,1.6E+08,2.4E+08,2.3E+08,3.0E+08,4.8E+05,1.7E+05,5.8E+05,4.3E+05,3.0E+05,1.5E+05,1.1E+05,33.6,32.9,15.8,8.6,9.9,6.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Asparagine,132.0535,3.75,0.82,A050,RP_neg_2020,95.75739802,6031,C00152,HMDB0000168,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Asparagine,132.0535,3.75,0.82,A050,RP_pos_2020,95.75739802,6031,C00152,HMDB0000168,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A020_RP,L-Ornithine,132.0900,3.38,0.4,0.7,0.3,-2.3,-1.6,0.7,-2.6,-1.5,1.1,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,4.076861194237110000000000000000E-06,3.225867739799280000000000000000E-04,1.182984856390030000000000000000E-01,3.246528084433330000000000000000E-07,3.553919580490740000000000000000E-04,4.045491072740270000000000000000E-03,3.0E+06,4.0E+06,2.5E+06,2.5E+06,3.3E+06,3.7E+06,2.6E+06,3.6E+06,2.0E+07,3.3E+07,1.2E+07,2.1E+07,1.5E+07,2.4E+07,1.1E+07,1.9E+07,5.9E+06,6.8E+06,8.7E+06,8.2E+06,8.3E+06,1.3E+07,1.1E+07,1.3E+07,1.1E+05,6.4E+05,7.3E+05,5.5E+05,1.0E+05,9.6E+04,1.4E+05,31.7,25.4,25.3,26.5,18.5,11.6,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Ornithine,132.0899,3.43,0.78,A019,RP_pos_2020,89.4165727,6026,C00077,HMDB0000214,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A021_RP,L-(+)-Aspartic acid,133.0376,3.83,0.0,-0.1,0.0,0.9,1.3,0.3,1.0,1.2,0.2,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,2.279627396006850000000000000000E-05,2.795581167951820000000000000000E-07,1.807279590748550000000000000000E-01,3.283717906172450000000000000000E-06,3.385204091329740000000000000000E-07,9.692373494771060000000000000000E-01,1.1E+09,1.5E+09,1.2E+09,1.1E+09,1.3E+09,1.3E+09,1.5E+09,1.2E+09,7.0E+08,6.6E+08,6.9E+08,5.5E+08,6.4E+08,5.7E+08,6.1E+08,6.4E+08,4.7E+08,6.3E+08,5.8E+08,4.7E+08,4.7E+08,5.0E+08,6.0E+08,5.8E+08,5.7E+06,7.9E+06,6.5E+06,7.5E+06,2.0E+06,7.4E+06,6.6E+06,13.3,13.1,8.7,6.6,14.1,11.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Aspartic acid,133.0375,3.85,0.42,A018,RP_pos_2020,97.03853545,5745,C00049,HMDB0000191,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Aspartic acid,133.0375,3.84,0.42,A018,RP_neg_2020,97.03853545,5745,C00049,HMDB0000191,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A022_RP,L-(-)-Malic acid,134.0216,5.84,0.1,0.2,-0.3,1.4,-0.6,-1.9,1.3,-0.1,-1.5,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,7.913047734196530000000000000000E-05,1.946853935971470000000000000000E-01,2.626755024074320000000000000000E-06,3.088661009329760000000000000000E-05,1.000000000000000000000000000000E+00,2.656786800591780000000000000000E-05,1.8E+08,3.1E+08,1.9E+08,2.2E+08,2.0E+08,2.0E+08,2.3E+08,2.1E+08,1.2E+08,1.1E+08,6.5E+07,7.4E+07,6.4E+07,8.7E+07,8.7E+07,8.3E+07,3.0E+08,2.8E+08,3.0E+08,2.1E+08,2.9E+08,2.4E+08,2.4E+08,2.3E+08,1.2E+06,1.2E+05,1.0E+06,1.1E+06,1.1E+05,1.0E+06,1.2E+05,12.0,10.1,16.5,29.9,22.1,9.5,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Malic acid,134.0215,6.10,0.78,A005,RP_neg_2020,94.75966886,193317,C00149,HMDB0000156,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A023_RP,Hypoxanthine,136.0386,9.61,0.2,0.3,-0.3,1.1,2.9,1.8,1.0,3.4,2.4,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,5.751404043073540000000000000000E-02,1.732158415231030000000000000000E-06,7.682172803244710000000000000000E-04,9.384544611402640000000000000000E-02,1.427976929894430000000000000000E-07,3.236236982537640000000000000000E-05,9.6E+08,1.1E+09,9.8E+08,9.0E+08,9.3E+08,1.4E+09,8.9E+08,1.0E+09,4.5E+08,6.4E+08,3.5E+08,4.1E+08,4.2E+08,4.3E+08,4.6E+08,6.6E+08,4.8E+07,5.0E+07,1.3E+08,1.0E+08,1.9E+08,1.0E+08,1.3E+08,1.1E+08,6.6E+05,8.5E+05,1.1E+06,9.4E+05,9.0E+05,9.1E+05,9.1E+05,29.9,47.9,24.7,11.4,21.0,4.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypoxanthine,136.0385,9.68,0.88,A035,RP_pos_2020,52.63768116,10748897,C00262,HMDB0000157,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypoxanthine,136.0385,9.69,0.88,A035,RP_neg_2020,52.63768116,768,C00262,HMDB0000157,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A024_RP,Spermidine,145.1580,2.88,-0.5,-0.1,0.1,-1.7,-1.1,0.7,-2.2,-1.7,0.5,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,5.970857266264460000000000000000E-05,4.874925365142200000000000000000E-03,1.993894792970360000000000000000E-01,1.531857741215500000000000000000E-06,9.693455754604950000000000000000E-05,1.221688502624220000000000000000E-01,2.7E+07,2.1E+07,2.9E+07,1.4E+07,3.2E+07,2.1E+07,2.9E+07,2.0E+07,9.2E+07,8.9E+07,8.3E+07,9.9E+07,1.1E+08,8.3E+07,1.0E+08,9.0E+07,8.0E+07,8.0E+07,6.4E+07,2.9E+07,5.8E+07,6.5E+07,5.1E+07,6.5E+07,1.6E+05,1.7E+05,1.4E+05,1.3E+05,1.3E+05,1.3E+05,1.3E+05,36.3,19.8,7.5,11.2,16.4,7.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In-source Spermine,145.1578,2.66,1.13,,RP_pos_2020,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spermidine,145.1579,2.89,0.46,B011,RP_pos_2020,89.57793093,1071,C00315,HMDB0001257,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A025_RP,L-Glutamine,146.0692,3.86,0.3,0.8,0.1,1.1,1.1,0.0,0.7,1.4,0.7,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,4.340888974015910000000000000000E-03,7.826192891986760000000000000000E-04,9.999999999961730000000000000000E-01,2.254614107669660000000000000000E-02,4.892730894999600000000000000000E-05,8.731548727694200000000000000000E-02,3.6E+09,4.7E+09,4.0E+09,4.2E+09,3.4E+09,9.0E+09,3.5E+09,3.8E+09,2.1E+09,3.2E+09,1.6E+09,2.4E+09,1.7E+09,3.0E+09,1.6E+09,2.6E+09,1.5E+09,1.8E+09,1.9E+09,2.2E+09,1.2E+09,1.5E+09,1.8E+09,1.7E+09,1.5E+06,1.4E+06,1.6E+06,1.9E+05,1.3E+06,1.3E+06,2.2E+05,16.6,20.2,12.5,12.9,44.4,7.2,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Glutamine,146.0691,3.88,0.10,A049,RP_pos_2020,91.85974187,5746,C00064,HMDB00641,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Glutamine,146.0691,3.87,0.10,A049,RP_neg_2020,91.85974187,5746,C00064,HMDB00641,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A026_RP,L-(+)-Lysine,146.1056,3.38,0.0,0.6,0.1,-0.1,-1.1,-1.1,-0.6,-1.3,-0.7,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,2.623462482438820000000000000000E-04,4.488784760750230000000000000000E-04,1.462440688600590000000000000000E-01,1.285373879504790000000000000000E-04,4.021449280167350000000000000000E-02,1.8E+08,2.4E+08,1.7E+08,1.5E+08,1.8E+08,1.8E+08,1.6E+08,1.6E+08,1.8E+08,3.1E+08,1.7E+08,2.2E+08,1.3E+08,2.1E+08,2.1E+08,3.3E+08,3.5E+08,3.3E+08,4.2E+08,3.9E+08,3.8E+08,5.4E+08,3.8E+08,4.4E+08,2.1E+05,1.1E+05,1.1E+05,1.3E+05,1.1E+05,1.0E+05,1.0E+05,21.1,8.3,23.1,19.4,21.4,6.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Lysine,146.1055,3.35,0.35,A077,RP_pos_2020,91.79200556,5747,C00047,HMDB0000182,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A027_RP,L-(+)-Glutamic acid,147.0532,4.05,0.0,0.0,-0.2,1.7,1.0,-0.7,1.7,1.2,-0.5,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.065237897890370000000000000000E-09,1.565672500342120000000000000000E-06,1.691316572726640000000000000000E-04,2.455582091831500000000000000000E-10,4.283826873875010000000000000000E-08,1.078974386165190000000000000000E-03,9.3E+09,1.1E+10,9.1E+09,8.0E+09,8.2E+09,9.2E+09,9.4E+09,9.1E+09,3.5E+09,2.8E+09,2.7E+09,2.5E+09,2.9E+09,2.8E+09,2.6E+09,2.8E+09,4.7E+09,4.6E+09,4.9E+09,3.6E+09,4.6E+09,3.9E+09,4.6E+09,4.0E+09,4.7E+05,6.8E+05,2.6E+05,4.9E+05,3.7E+05,1.2E+06,1.6E+06,10.2,3.0,6.3,13.0,14.5,6.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-Glutamic acid,147.0532,4.05,0.01,A047,RP_neg_2020,93.0451277,30572,C00025,HMDB0000148,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Glutamic acid,147.0532,4.06,0.01,A047,RP_pos_2020,93.0451277,30572,C00025,HMDB0000148,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A028_RP,Xanthine,152.0335,10.00,0.3,0.4,-0.3,1.5,3.1,1.6,1.4,3.7,2.3,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,8.926478317717740000000000000000E-06,1.049298965473460000000000000000E-10,3.425783790797260000000000000000E-06,1.753248157983200000000000000000E-05,1.617148082111440000000000000000E-11,7.947843153307850000000000000000E-08,6.2E+07,8.7E+07,6.3E+07,7.0E+07,7.1E+07,1.1E+08,7.7E+07,7.5E+07,2.7E+07,4.0E+07,2.2E+07,2.5E+07,2.5E+07,2.8E+07,2.4E+07,3.5E+07,7.2E+06,5.8E+06,8.7E+06,8.6E+06,8.3E+06,7.1E+06,6.1E+06,5.7E+06,2.2E+05,3.1E+05,2.1E+05,2.3E+05,3.3E+05,2.0E+05,2.7E+05,20.3,15.5,21.3,8.4,21.3,10.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Xanthine,152.0334,10.01,0.58,A054,RP_pos_2020,79.06864203,1151,C00385,HMDB0000292,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Xanthine,152.0334,10.10,0.58,A054,RP_neg_2020,79.06864203,1151,C00385,HMDB0000292,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A029_RP,Dopamine,153.0791,9.58,0.3,0.7,0.6,4.0,4.7,0.7,3.6,4.4,0.8,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,7.596260247933340000000000000000E-06,1.234845031209250000000000000000E-06,9.999999999961730000000000000000E-01,3.426935752263790000000000000000E-05,9.995361264699650000000000000000E-07,4.784394020560050000000000000000E-01,1.4E+07,3.1E+07,1.6E+07,1.9E+07,1.3E+07,1.5E+07,1.1E+07,1.4E+07,9.0E+05,1.3E+06,7.7E+05,7.1E+05,8.6E+05,1.9E+06,2.5E+05,1.4E+06,8.2E+05,7.9E+05,7.5E+05,7.7E+05,2.4E+05,2.7E+05,2.7E+05,8.1E+05,6.1E+05,5.0E+05,5.3E+05,4.3E+05,1.8E+05,1.9E+05,2.2E+05,39.3,59.3,37.7,43.3,39.6,17.5,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in-source pyridoxine,153.0790,9.82,0.82,,RP_pos_2020,45.06159102,,,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dopamine,153.0790,9.67,0.82,B004,RP_pos_2020,49.56775012,661,C03758,HMDB0000073,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A030_RP,Histidine,155.0696,3.66,0.5,0.3,-0.4,0.0,0.1,0.1,0.3,1.0,0.7,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,9.999999999961730000000000000000E-01,5.112157541827650000000000000000E-01,1.765358799357190000000000000000E-01,9.999999999925950000000000000000E-01,1.4E+08,2.5E+08,1.5E+08,1.8E+08,2.4E+08,2.1E+08,1.4E+08,2.1E+08,1.4E+08,4.0E+07,1.5E+08,1.8E+08,1.5E+08,1.7E+08,1.0E+08,1.7E+08,9.5E+07,7.8E+07,1.2E+08,9.0E+07,1.5E+08,1.3E+08,1.7E+08,1.2E+08,4.6E+05,1.6E+05,6.3E+05,5.4E+05,6.8E+05,6.3E+05,6.4E+05,24.7,25.7,47.6,15.5,12.9,28.5,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Histidine,155.0695,3.53,0.96,E1,RP_pos_2020,91.04274263,6038,C00135,HMDB0000177,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Histidine,155.0695,3.56,0.96,E1,RP_neg_2020,91.04274263,6038,C00135,HMDB0000177,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A031_RP,Allantoin,158.0440,4.40,-0.4,0.0,-0.2,-2.4,-1.3,1.1,-2.8,-1.5,1.3,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.643396683261890000000000000000E-05,9.055345389186700000000000000000E-03,2.626460084611920000000000000000E-02,2.495197374332900000000000000000E-06,4.099238599914890000000000000000E-03,6.646399006559000000000000000000E-03,5.3E+06,6.0E+06,4.9E+06,3.9E+06,6.7E+06,3.9E+06,3.8E+06,2.6E+06,2.8E+07,2.9E+07,2.5E+07,2.6E+07,2.6E+07,2.4E+07,5.1E+07,5.6E+07,1.9E+07,1.5E+07,1.4E+07,1.1E+07,1.1E+07,1.1E+07,1.0E+07,8.4E+06,4.6E+05,1.5E+05,4.4E+05,6.7E+05,3.1E+05,3.3E+05,4.5E+05,25.3,29.6,44.2,37.8,34.4,22.7,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allantoin,158.0440,4.43,0.28,A109,RP_pos_2020,18.98227793,199,C01551,HMDB0000462,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allantoin,158.0440,4.42,0.28,A109,RP_neg_2020,18.98227793,199,C01551,HMDB0000462,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A032_RP,L-2-Aminoadipic acid,161.0689,4.68,0.0,0.5,0.3,2.8,-0.9,-3.7,2.3,-1.1,-3.5,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.070383639244690000000000000000E-03,9.162226006191070000000000000000E-01,1.238640167565180000000000000000E-04,6.305486450615120000000000000000E-02,6.983484542061690000000000000000E-02,1.871570716519980000000000000000E-04,1.5E+08,2.2E+08,1.4E+08,1.3E+08,1.2E+08,2.1E+07,1.7E+08,1.7E+08,2.7E+07,3.5E+07,2.2E+07,2.8E+07,1.7E+07,2.7E+07,1.9E+07,3.1E+07,1.6E+08,2.4E+08,2.8E+08,2.3E+08,2.7E+08,4.0E+08,2.6E+08,4.1E+08,1.3E+06,8.2E+05,3.4E+05,1.9E+05,2.5E+05,1.0E+06,1.2E+06,31.5,21.8,12.1,19.2,62.9,14.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-2-Aminoadipic acid,161.0688,4.78,0.58,A093,RP_pos_2020,78.29621883,456,C00956,HMDB0000510,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
